config,threshold,trades,ko_pct,wr_pct,roi_pct,avg_pnl,overnight_pct,avg_days
Baseline: SMA(20) only,0.3,2724,49.44933920704846,29.55212922173275,11.58414388607395,57.92071943036974,49.522760646108665,2.5099118942731278
Single SMA(50),0.3,2724,46.62261380323054,31.05726872246696,8.327493219173537,41.63746609586769,41.99706314243759,2.247797356828194
Single SMA(100),0.3,2724,42.51101321585903,33.95741556534508,9.792372188947974,48.961860944739875,35.646108663729805,2.0759911894273126
Composite (inverse weight),0.3,2724,48.458149779735685,30.029368575624083,10.621716859363767,53.10858429681883,47.20998531571219,2.4306167400881056
Composite (inverse sqrt),0.3,2724,45.55800293685756,32.048458149779734,12.685283504149616,63.42641752074808,42.033773861967695,2.286710719530103
Composite (equal weight),0.3,2724,43.245227606461086,33.223201174743025,12.382188482657766,61.91094241328882,37.481644640234954,2.1417033773861966
Composite (exponential),0.3,2724,47.65051395007342,30.580029368575623,10.304427035016516,51.52213517508259,45.30102790014684,2.370778267254038
"Composite inverse, thresh 0.1",0.1,2724,52.93685756240822,27.6798825256975,11.08009470584619,55.40047352923095,54.44199706314243,2.6791483113069017
"Composite inverse, thresh 0.5",0.5,2724,43.4654919236417,33.03964757709251,11.719355934909471,58.596779674547356,38.65638766519824,2.158223201174743
"Composite inverse, agree>70%",0.3,2724,41.776798825256975,34.36123348017621,12.762779997649435,63.81389998824718,36.49045521292217,2.118208516886931
"Composite inverse, agree>90%",0.3,2724,38.91336270190896,36.160058737151246,8.415573265906973,42.077866329534864,31.644640234948607,1.961820851688693
All SMAs agree (inverse),0.3,2724,35.5726872246696,38.1791483113069,8.588454463182863,42.942272315914316,26.248164464023493,1.791483113069016
