formula,threshold,trades,ko_pct,wr_pct,roi_pct,total_pnl,overnight_pct,avg_days
8. Combined (TSI+Stack+Price),0.2,2724,51.35829662261381,28.524229074889867,14.314935898897371,194969.4269429822,52.42290748898678,2.6215124816446402
3. Weighted avg (1/sqrt),0.1,2724,51.90895741556535,28.56093979441997,13.918581432407438,189571.07910938928,52.6431718061674,2.6211453744493394
4. Trend Strength Index,0.9,2724,43.906020558002936,33.223201174743025,13.591713465921233,185119.13740584717,40.455212922173274,2.246696035242291
4. Trend Strength Index,0.7,2724,47.87077826725404,30.87371512481645,13.211620779857785,179942.27502166305,47.393538913362704,2.4673274596182084
8. Combined (TSI+Stack+Price),0.4,2724,48.12775330396476,30.580029368575623,13.014905054886578,177263.00684755517,46.87958883994126,2.44640234948605
3. Weighted avg (1/sqrt),0.3,2724,45.55800293685756,32.048458149779734,12.685283504149616,172773.56132651778,42.033773861967695,2.286710719530103
3. Weighted avg (1/sqrt),0.2,2724,48.861967694566815,30.13950073421439,12.557439565040296,171032.3268758488,46.98972099853157,2.4423641703377386
4. Trend Strength Index,0.5,2724,50.844346549192366,28.9647577092511,12.174312599782418,165814.13760903652,51.50513950073421,2.590675477239354
2. Weighted avg (1/period),0.2,2724,50.77092511013216,28.891336270190898,11.61002323587262,158128.51647258506,50.91776798825257,2.555066079295154
1. Baseline SMA(20),0.3,2724,49.44933920704846,29.55212922173275,11.58414388607395,157776.0397283272,49.522760646108665,2.5099118942731278
4. Trend Strength Index,0.3,2724,53.01027900146843,27.826725403817914,11.404485853547767,155329.0973253206,54.62555066079295,2.684654919236417
6. Price vs SMAs,0.8,2724,45.88839941262849,30.323054331864906,11.171104400227016,152150.44193109195,44.60352422907489,2.369676945668135
2. Weighted avg (1/period),0.1,2724,52.93685756240822,27.6798825256975,11.08009470584619,150910.8898936251,54.44199706314243,2.6791483113069017
5. SMA Stack Order,0.4,2724,45.22760646108664,33.223201174743025,10.955679634822296,149216.35662627968,40.63876651982379,2.2529368575624082
5. SMA Stack Order,0.2,2724,46.51248164464023,32.562408223201174,10.91973557708473,148726.79855989403,42.76798825256975,2.315712187958884
2. Weighted avg (1/period),0.3,2724,48.458149779735685,30.029368575624083,10.621716859363767,144667.7836245345,47.20998531571219,2.4306167400881056
8. Combined (TSI+Stack+Price),0.6,2724,43.245227606461086,33.186490455212926,10.398574433328521,141628.58378193446,39.06020558002937,2.21071953010279
6. Price vs SMAs,0.6,2724,48.56828193832599,28.597650513950075,9.910608936166902,134982.4937105932,48.56828193832599,2.476505139500734
5. SMA Stack Order,0.6,2724,41.99706314243759,35.095447870778266,9.51241080350516,129559.03514374029,35.5359765051395,2.0972834067547725
5. SMA Stack Order,0.8,2724,38.65638766519824,36.67400881057269,9.131288188604145,124368.14512878847,30.066079295154186,1.9181350954478709
7. Momentum Acceleration,0.3,2724,50.51395007342144,28.67107195301028,8.987926523774272,122415.55925380558,50.58737151248165,2.5352422907488985
7. Momentum Acceleration,0.1,2724,51.68869309838473,28.083700440528638,8.35687524255739,113820.64080363166,52.42290748898678,2.58920704845815
6. Price vs SMAs,0.4,2724,51.72540381791483,26.174743024963288,7.886740039045727,107417.3993318028,53.74449339207048,2.608663729809104
7. Momentum Acceleration,0.5,2724,49.375917767988255,29.148311306901615,6.882635411653035,93741.49430671433,48.201174743024964,2.461086637298091
6. Price vs SMAs,0.2,2724,55.359765051395,23.898678414096917,6.178037365599276,84144.86891946214,58.99412628487518,2.761747430249633
