config,n_trades,KO%,WR%,avg_pnl,total_pnl,ROI%,n_switched_to_cert,switch_rate%,cert_avg_pnl,cert_total_pnl,avg_days_held
Baseline turbo 1.0% (same-day),2062,21.7,49.1,24.8,51156.0,4.96,,,,,
Pure turbo runner 1.0% (+1d hold),2066,42.0,39.5,70.6,145934.0,14.13,,,,,
Baseline turbo 2.0% (same-day),2062,3.6,51.8,13.0,26885.0,2.61,,,,,
Pure turbo runner 2.0% (+1d hold),2066,15.9,44.8,25.5,52695.0,5.1,,,,,
Hybrid 1.0%KO / 5x cert / grad>0.1%,2062,21.7,48.1,33.9,69920.0,6.78,994.0,48.2,18.9,18764.0,2.81
Hybrid 1.0%KO / 5x cert / grad>0.3%,2062,21.7,48.4,33.6,69344.0,6.73,910.0,44.1,20.0,18188.0,2.64
Hybrid 1.0%KO / 5x cert / grad>0.5%,2062,21.7,48.5,32.1,66100.0,6.41,825.0,40.0,18.1,14944.0,2.47
Hybrid 1.0%KO / 5x cert / grad>1.0%,2062,21.7,48.7,33.0,68088.0,6.6,647.0,31.4,26.2,16931.0,2.14
Hybrid 1.0%KO / 10x cert / grad>0.1%,2062,21.7,46.3,46.2,95308.0,9.24,994.0,48.2,44.4,44152.0,2.81
Hybrid 1.0%KO / 10x cert / grad>0.3%,2062,21.7,46.8,45.7,94223.0,9.14,910.0,44.1,47.3,43067.0,2.64
Hybrid 1.0%KO / 10x cert / grad>0.5%,2062,21.7,46.8,42.1,86871.0,8.43,825.0,40.0,43.3,35715.0,2.47
Hybrid 1.0%KO / 10x cert / grad>1.0%,2062,21.7,47.7,44.1,90938.0,8.82,647.0,31.4,61.5,39782.0,2.14
Hybrid 2.0%KO / 5x cert / grad>0.1%,2062,3.6,50.4,20.8,42800.0,4.15,1119.0,54.3,14.2,15915.0,3.04
Hybrid 2.0%KO / 5x cert / grad>0.3%,2062,3.6,50.8,20.7,42583.0,4.13,1030.0,50.0,15.2,15698.0,2.86
Hybrid 2.0%KO / 5x cert / grad>0.5%,2062,3.6,50.7,19.3,39802.0,3.86,938.0,45.5,13.8,12917.0,2.68
Hybrid 2.0%KO / 5x cert / grad>1.0%,2062,3.6,51.4,20.1,41416.0,4.02,743.0,36.0,19.6,14532.0,2.32
Hybrid 2.0%KO / 10x cert / grad>0.1%,2062,3.6,48.5,30.4,62685.0,6.08,1119.0,54.3,32.0,35800.0,3.04
Hybrid 2.0%KO / 10x cert / grad>0.3%,2062,3.6,49.2,30.2,62262.0,6.04,1030.0,50.0,34.3,35378.0,2.86
Hybrid 2.0%KO / 10x cert / grad>0.5%,2062,3.6,49.4,27.1,55960.0,5.43,938.0,45.5,31.0,29075.0,2.68
Hybrid 2.0%KO / 10x cert / grad>1.0%,2062,3.6,50.3,28.8,59348.0,5.76,743.0,36.0,43.7,32463.0,2.32
