filter,mode,buffer_pct,n_trades,ko_pct,wr_pct,roi_pct,held_overnight_pct,avg_days,total_pnl,avg_pnl
All trend-aligned,runner,1.0,2066,46.46660212971926,33.39787028073572,16.66975159125451,43.852855759922555,2.3736689254598256,172198.53393765911,83.34875795627256
All trend-aligned,same_day,1.0,2066,21.684414327202322,48.98354307841239,4.952202545031383,0.0,1.0,51156.25229017419,24.761012725156917
Quality >= 2,runner,1.0,907,46.4167585446527,34.178610804851154,15.662184227443882,39.911797133406836,2.2932745314222713,71028.005471458,78.31092113721941
Quality >= 2,same_day,1.0,907,24.255788313120178,47.62954796030871,2.3617792673714364,0.0,1.0,10710.668977529464,11.808896336857181
Quality >= 3,runner,1.0,88,59.09090909090909,28.40909090909091,17.682382296660375,30.681818181818183,1.8295454545454546,7780.248210530565,88.41191148330188
Quality >= 3,same_day,1.0,88,40.909090909090914,42.04545454545455,1.8789937511014851,0.0,1.0,826.7572504846535,9.394968755507426
Quality == 4,runner,1.0,10,90.0,10.0,-89.03518155337798,30.0,1.5,-4451.759077668899,-445.17590776688996
Quality == 4,same_day,1.0,10,60.0,30.0,-16.380512730513654,0.0,1.0,-819.0256365256828,-81.90256365256828
All trend-aligned,runner,2.0,2066,23.814133591481124,40.99709583736689,11.107950611973726,49.66118102613746,2.8339787028073573,114745.12982168859,55.53975305986863
All trend-aligned,same_day,2.0,2066,3.581800580832527,51.74249757986448,2.602585631587916,0.0,1.0,26884.709574303175,13.012928157939582
Quality >= 2,runner,2.0,907,23.373759647188532,41.89636163175303,12.263054989083109,46.63726571113561,2.7596471885336276,55612.9543754919,61.315274945415545
Quality >= 2,same_day,2.0,907,5.071664829106946,51.15766262403528,1.7274713979637029,0.0,1.0,7834.082789765393,8.637356989818514
Quality >= 3,runner,2.0,88,34.090909090909086,38.63636363636363,10.513452674674035,37.5,2.2613636363636362,4625.919176856575,52.567263373370174
Quality >= 3,same_day,2.0,88,19.318181818181817,46.590909090909086,-3.801535453446699,0.0,1.0,-1672.6755995165477,-19.007677267233497
Quality == 4,runner,2.0,10,70.0,30.0,4.891103066793585,60.0,2.7,244.55515333967924,24.455515333967924
Quality == 4,same_day,2.0,10,30.0,40.0,-0.7849155932731923,0.0,1.0,-39.24577966365962,-3.9245779663659617
