ticker,category,date,direction,attempt_number,entry_time,exit_time,entry_price,exit_price,ko_level,orb_high,orb_low,outcome,underlying_move_pct,turbo_pnl_sek,ko_buffer_pct,entry_vol_ratio,breakout_beyond_pct,ko_buffer
XLK,Sector ETF,2025-12-04,long,1,10:40:00,15:55:00,145.41070556640625,145.52999877929688,143.9565985107422,145.27499389648438,144.63999938964844,close,0.08203881029663672,41.01940514831836,1.0,1.0,0.093,1.0
XLK,Sector ETF,2025-12-05,long,1,10:05:00,11:30:00,146.9199981689453,146.0800018310547,145.45079818725586,146.6699981689453,146.09010314941406,manual_exit,-0.5717372368359968,-285.8686184179984,1.0,1.05,0.17,1.0
XLK,Sector ETF,2025-12-05,long,2,13:30:00,15:55:00,146.77499389648438,146.5800018310547,145.30724395751952,146.6699981689453,146.09010314941406,close,-0.13285101246007142,-66.42550623003571,1.0,1.0,0.072,1.0
XLK,Sector ETF,2025-12-08,short,1,11:00:00,15:55:00,147.1699981689453,147.66000366210938,148.64169815063477,148.3800048828125,147.36000061035156,close,-0.3329520277642157,-166.47601388210785,1.0,1.0,0.129,1.0
XLK,Sector ETF,2025-12-09,long,1,10:00:00,15:55:00,147.64999389648438,148.0399932861328,146.17349395751953,147.47000122070312,146.9600067138672,close,0.26413776211996415,132.06888105998206,1.0,1.0,0.122,1.0
XLK,Sector ETF,2025-12-10,short,1,10:40:00,12:50:00,147.08999633789062,147.8343963623047,148.56089630126954,147.69000244140625,147.24009704589844,manual_exit,-0.5060847392395399,-253.04236961976994,1.0,0.57,0.102,1.0
XLK,Sector ETF,2025-12-10,long,2,12:55:00,15:55:00,147.82000732421875,148.75999450683594,146.34180725097656,147.69000244140625,147.24009704589844,close,0.6358998349631259,317.9499174815629,1.0,1.0,0.088,1.0
XLK,Sector ETF,2025-12-11,short,1,09:50:00,12:20:00,145.5800018310547,147.03580184936524,147.03580184936524,147.05999755859375,146.36000061035156,ko,-1.0000000000000053,-500.0,1.0,0.69,0.533,1.0
XLK,Sector ETF,2025-12-11,long,2,12:35:00,15:55:00,147.22000122070312,148.0,145.7478012084961,147.05999755859375,146.36000061035156,close,0.529818484464994,264.90924223249704,1.0,1.0,0.109,1.0
XLK,Sector ETF,2025-12-12,short,1,10:00:00,15:55:00,145.88999938964844,143.7100067138672,147.34889938354493,146.94000244140625,146.6199951171875,close,1.4942714955799297,747.1357477899649,1.0,1.0,0.498,1.0
XLK,Sector ETF,2025-12-15,short,1,09:40:00,15:55:00,143.69000244140625,142.30499267578125,145.1269024658203,144.6300048828125,144.15170288085938,close,0.9638873561782964,481.94367808914814,1.0,1.0,0.32,1.0
XLK,Sector ETF,2025-12-16,short,1,10:40:00,13:45:00,141.72999572753906,142.4499969482422,143.14729568481445,142.44000244140625,141.77000427246094,manual_exit,-0.5080090611780241,-254.00453058901206,1.0,0.66,0.028,1.0
XLK,Sector ETF,2025-12-16,long,2,15:25:00,15:55:00,142.52520751953125,142.52999877929688,141.09995544433593,142.44000244140625,141.77000427246094,close,0.0033616928885849325,1.6808464442924662,1.0,1.0,0.06,1.0
XLK,Sector ETF,2025-12-17,short,1,09:40:00,15:55:00,142.22999572753906,139.3699951171875,143.65229568481445,142.83999633789062,142.52000427246094,close,2.010828022402731,1005.4140112013654,1.0,1.0,0.203,1.0
XLK,Sector ETF,2025-12-18,short,1,09:40:00,10:35:00,141.3699951171875,142.3000030517578,142.78369506835938,142.22000122070312,141.74000549316406,manual_exit,-0.6578538351079308,-328.92691755396544,1.0,0.46,0.261,1.0
XLK,Sector ETF,2025-12-18,long,2,11:35:00,12:05:00,142.3000030517578,141.3699951171875,140.87700302124023,142.22000122070312,141.74000549316406,manual_exit,-0.6535544024071784,-326.77720120358924,1.0,1.64,0.056,1.0
XLK,Sector ETF,2025-12-18,short,3,12:10:00,13:20:00,141.25999450683594,142.2550048828125,142.6725944519043,142.22000122070312,141.74000549316406,manual_exit,-0.7043822842060293,-352.19114210301467,1.0,0.71,0.339,1.0
XLK,Sector ETF,2025-12-18,short,4,14:35:00,15:55:00,141.55999755859375,141.52000427246094,142.97559753417968,142.22000122070312,141.74000549316406,close,0.028251827368292157,14.125913684146079,1.0,1.0,0.127,1.0
XLK,Sector ETF,2025-12-19,long,1,09:45:00,15:55:00,144.02000427246094,144.6199951171875,142.57980422973634,143.4600067138672,142.57000732421875,close,0.4166024350280421,208.30121751402103,1.0,1.0,0.39,1.0
XLK,Sector ETF,2025-12-22,short,1,10:35:00,15:55:00,144.78500366210938,145.14999389648438,146.23285369873048,146.00999450683594,145.0399932861328,close,-0.25209118703121525,-126.04559351560762,1.0,1.0,0.176,1.0
