ticker,date,signal_tf,direction,entry_price,exit_price,orb_high,orb_low,risk_pct,pnl_pct,outcome,confluence,vwap_confirmed,trend_aligned,sr_type,gap_type,category
AAPL,2025-12-04,5min,short,281.9601135253906,280.6499938964844,284.7300109863281,283.1600036621094,0.9823720902595217,0.4646471490331107,hold,False,True,False,no_sr,above_monday,XLK holding
AAPL,2025-12-05,5min,short,278.89801025390625,278.7900085449219,281.04998779296875,279.4800109863281,0.7716001763882643,0.038724445859635644,hold,False,True,False,no_sr,inside_monday,XLK holding
AAPL,2025-12-08,5min,short,277.3699951171875,277.9599914550781,279.6693115234375,277.8500061035156,0.8289708500295966,-0.2127109450470136,hold,False,True,False,no_sr,inside_monday,XLK holding
AAPL,2025-12-09,5min,short,277.8450012207031,277.2300109863281,279.269287109375,277.8900146484375,0.5126188639040905,0.22134291841604492,hold,False,True,False,no_sr,inside_monday,XLK holding
AAPL,2025-12-10,5min,short,276.82000732421875,278.4100036621094,278.29998779296875,277.1700134277344,0.5346363808944664,-0.5743791257213501,sl,False,True,False,sr_break,inside_monday,XLK holding
AAPL,2025-12-11,5min,short,275.3055114746094,278.05999755859375,279.5799865722656,278.1000061035156,1.552629685748399,-1.0005197750058168,hold,True,True,False,no_sr,inside_monday,XLK holding
AAPL,2025-12-15,5min,short,274.9599914550781,274.114990234375,280.04998779296875,277.9599914550781,1.8511770788741129,0.3073178814966533,hold,False,True,False,no_sr,above_monday,XLK holding
AAPL,2025-12-16,5min,short,272.375,274.1700134277344,273.92999267578125,272.6400146484375,0.5709013954222121,-0.6590228279887563,sl,True,True,False,no_sr,inside_monday,XLK holding
AAPL,2025-12-17,5min,short,274.614990234375,272.40248107910156,276.0899963378906,274.8299865722656,0.5371178398734734,0.8056767598102101,tp,False,True,False,sr_break,inside_monday,XLK holding
AAPL,2025-12-18,5min,short,268.2127990722656,272.1600036621094,273.6199951171875,269.8399963378906,2.016009699621006,-1.4716689895101684,hold,True,False,False,no_sr,inside_monday,XLK holding
AAPL,2025-12-19,5min,short,271.510009765625,273.6700134277344,272.7900085449219,271.57000732421875,0.4714370495591693,-0.7955521286209485,sl,True,True,False,no_sr,below_monday,XLK holding
AAPL,2025-12-22,5min,short,272.510009765625,270.82000732421875,273.8800048828125,272.7200012207031,0.5027320348216854,0.6201616017186868,hold,False,True,False,no_sr,inside_monday,XLK holding
AAPL,2025-12-23,5min,long,271.3999938964844,272.239990234375,270.9599914550781,269.55999755859375,0.6779647676014409,0.30950492143747466,hold,False,True,True,no_sr,inside_monday,XLK holding
AAPL,2025-12-24,5min,long,274.70001220703125,273.8500061035156,274.30499267578125,273.0899963378906,0.5860996714944503,-0.3094306755527214,hold,True,True,True,no_sr,inside_monday,XLK holding
AAPL,2025-12-26,5min,short,273.9100036621094,273.25,275.0799865722656,274.05999755859375,0.42714135829793226,0.24095639198469876,hold,False,True,False,sr_break,above_monday,XLK holding
AAPL,2025-12-30,5min,short,272.5899963378906,272.989990234375,274.07000732421875,272.7900085449219,0.5429439840828084,-0.14673828895340682,hold,False,True,False,no_sr,inside_monday,XLK holding
AAPL,2025-12-31,5min,short,272.3299865722656,271.8399963378906,273.67999267578125,272.5,0.49572436752475907,0.17992518581679434,hold,False,True,False,no_sr,inside_monday,XLK holding
