week_start,signal_date,direction,mon_high,mon_low,signal_close,weekly_close,weekly_close_date,win,ticker,category
2021-03-08,2021-03-09,long,62.24670155095631,60.4434946269004,62.56406021118164,63.18918228149414,2021-03-12,True,XLK,Sector ETF
2021-03-15,2021-03-16,long,63.90085027975076,62.98722829111867,64.34323120117188,62.31882858276367,2021-03-19,False,XLK,Sector ETF
2021-03-22,2021-03-24,short,63.8526127667693,62.551564794884634,62.3829231262207,63.92970657348633,2021-03-26,False,XLK,Sector ETF
2021-03-29,2021-03-30,short,63.91524594203389,63.115339859278905,62.99488067626953,65.28376770019531,2021-04-01,False,XLK,Sector ETF
2021-04-05,2021-04-08,long,66.74864707431793,65.57769892957641,67.6642074584961,68.31475067138672,2021-04-09,True,XLK,Sector ETF
2021-04-12,2021-04-13,long,68.2039083066356,67.65457654508873,68.62794494628906,69.05198669433594,2021-04-16,True,XLK,Sector ETF
2021-04-19,2021-04-20,short,69.06164285647588,68.06898403563159,67.87141418457031,68.76287841796875,2021-04-23,False,XLK,Sector ETF
2021-04-26,2021-04-28,short,69.18692422390673,68.73878111430808,68.30509948730469,67.31727600097656,2021-04-30,True,XLK,Sector ETF
2021-05-03,2021-05-04,short,67.81358056114892,66.96067573477937,65.9246826171875,66.99442291259766,2021-05-07,False,XLK,Sector ETF
2021-05-10,2021-05-11,short,66.70529157319368,65.27895982782118,65.1054916381836,65.52472686767578,2021-05-14,False,XLK,Sector ETF
2021-05-17,2021-05-20,long,65.15849054797539,64.45014074927688,65.9873275756836,65.62589263916016,2021-05-21,True,XLK,Sector ETF
2021-06-01,2021-06-03,short,67.06186944278176,66.24269163940383,66.1993179321289,67.47147369384766,2021-06-04,False,XLK,Sector ETF
2021-06-07,2021-06-10,long,67.53410963974082,67.12934041212326,68.0063247680664,68.4111099243164,2021-06-11,True,XLK,Sector ETF
2021-06-21,2021-06-22,long,69.24132680808901,68.05375739454799,69.83029174804688,70.11029815673828,2021-06-25,True,XLK,Sector ETF
2021-06-28,2021-06-29,long,70.9261529154955,70.38547127966466,71.36063385009766,72.34545135498047,2021-07-02,True,XLK,Sector ETF
2021-07-06,2021-07-07,long,72.9633560294866,71.92543906002844,73.01647186279297,72.99232482910156,2021-07-09,True,XLK,Sector ETF
2021-07-12,2021-07-13,long,73.31577863774814,72.81371819129838,73.34957122802734,72.557861328125,2021-07-16,False,XLK,Sector ETF
2021-07-19,2021-07-20,long,71.89166439114182,71.14339484660555,72.62059783935547,74.59506225585938,2021-07-23,True,XLK,Sector ETF
2021-07-26,2021-07-27,short,74.69164320720276,74.12682233660772,73.85163879394531,74.05440521240234,2021-07-30,True,XLK,Sector ETF
2021-08-02,2021-08-05,long,74.48888593751442,73.68751315075406,74.82198333740234,74.75919342041016,2021-08-06,True,XLK,Sector ETF
2021-08-09,2021-08-10,short,74.9812841689038,74.44542743913497,73.98198699951172,74.82198333740234,2021-08-13,False,XLK,Sector ETF
2021-08-16,2021-08-18,short,75.16955398354989,74.01094111360213,73.50888061523438,75.1840591430664,2021-08-20,False,XLK,Sector ETF
2021-08-23,2021-08-27,long,76.26058718019421,75.37714720362496,76.27507019042969,76.27507019042969,2021-08-27,True,XLK,Sector ETF
2021-09-07,2021-09-09,short,77.1150466343002,76.58883972169633,76.36677551269531,75.61368560791016,2021-09-10,True,XLK,Sector ETF
2021-09-13,2021-09-17,short,76.38608680617317,75.14058185042268,75.05850982666016,75.05850982666016,2021-09-17,True,XLK,Sector ETF
2021-09-20,2021-09-22,long,74.33458354804706,72.70967797793277,74.7311019897461,75.7853775024414,2021-09-24,True,XLK,Sector ETF
2021-09-27,2021-09-28,short,75.32110160264969,74.57151613012407,72.82571411132812,73.29967498779297,2021-10-01,True,XLK,Sector ETF
2021-10-04,2021-10-06,long,72.96597408630785,71.03156338310089,73.0965576171875,73.48826599121094,2021-10-08,True,XLK,Sector ETF
2021-10-11,2021-10-12,short,74.06375178640364,73.0288422863412,72.7048110961914,75.39849853515625,2021-10-15,False,XLK,Sector ETF
2021-10-18,2021-10-19,long,76.07553144356855,74.7698057686506,76.79127502441406,76.60749053955078,2021-10-22,True,XLK,Sector ETF
2021-10-25,2021-10-28,long,77.1346277126044,76.55913934084914,77.78263854980469,78.11634826660156,2021-10-29,True,XLK,Sector ETF
2021-11-01,2021-11-02,long,78.15503106108436,77.60372428940501,78.68697357177734,80.80033874511719,2021-11-05,True,XLK,Sector ETF
2021-11-08,2021-11-10,short,81.37581407621585,80.87286322436822,79.56715393066406,80.91156768798828,2021-11-12,False,XLK,Sector ETF
2021-11-15,2021-11-16,long,81.35164512335876,80.36993225273795,81.68047332763672,82.8459701538086,2021-11-19,True,XLK,Sector ETF
2021-11-22,2021-11-23,short,84.26776282094126,81.87393114921181,81.73369598388672,80.27320861816406,2021-11-26,True,XLK,Sector ETF
2021-11-29,2021-12-01,short,82.50262712440045,81.21140136610916,80.476318359375,79.85731506347656,2021-12-03,True,XLK,Sector ETF
2021-12-06,2021-12-07,long,80.85836321947893,79.25763959667162,83.43113708496094,84.57244110107422,2021-12-10,True,XLK,Sector ETF
2021-12-13,2021-12-14,short,84.91094591276546,83.19415519642861,81.94646453857422,81.18722534179688,2021-12-17,True,XLK,Sector ETF
2021-12-20,2021-12-21,long,80.47353198113935,79.63531854518908,82.251708984375,83.79244995117188,2021-12-23,True,XLK,Sector ETF
2022-01-03,2022-01-05,short,85.12005107413403,83.98628162912884,81.55399322509766,80.39600372314453,2022-01-07,True,XLK,Sector ETF
2022-01-10,2022-01-11,long,80.51228226742649,78.14783420266839,81.37471008300781,80.3136215209961,2022-01-14,False,XLK,Sector ETF
2022-01-18,2022-01-19,short,79.61594045515724,78.16723008092605,77.29023742675781,74.7756118774414,2022-01-21,True,XLK,Sector ETF
2022-01-24,2022-01-28,long,75.21649759789429,70.85584020014086,76.55377960205078,76.55377960205078,2022-01-28,True,XLK,Sector ETF
2022-01-31,2022-02-01,long,78.57905472861279,76.20007911580295,78.6808090209961,77.32901000976562,2022-02-04,False,XLK,Sector ETF
2022-02-07,2022-02-09,long,77.84745471108138,76.5198736071536,79.48995208740234,75.04692077636719,2022-02-11,False,XLK,Sector ETF
2022-02-14,2022-02-15,long,75.62835978257989,74.15057944080208,76.99470520019531,73.85986328125,2022-02-18,False,XLK,Sector ETF
2022-02-22,2022-02-23,short,74.34922855011705,72.37724564827406,71.34520721435547,74.78529357910156,2022-02-25,False,XLK,Sector ETF
2022-02-28,2022-03-01,short,74.96455349617788,73.37048666821256,73.15730285644531,72.5564956665039,2022-03-04,True,XLK,Sector ETF
2022-03-07,2022-03-08,short,72.82783479997826,69.86258963591351,69.56221771240234,69.79959106445312,2022-03-11,True,XLK,Sector ETF
2022-03-14,2022-03-15,long,70.26960272157953,68.30730452214776,70.8073959350586,75.13414001464844,2022-03-18,True,XLK,Sector ETF
2022-03-21,2022-03-22,long,75.38947453640846,74.00605224811403,76.06905364990234,76.80203247070312,2022-03-25,True,XLK,Sector ETF
2022-03-28,2022-03-29,long,77.74858992251339,76.2535171744281,79.36499786376953,76.91851806640625,2022-04-01,False,XLK,Sector ETF
2022-04-04,2022-04-05,short,78.41844206847466,77.0884082834295,76.72921752929688,73.9817886352539,2022-04-08,True,XLK,Sector ETF
2022-04-11,2022-04-12,short,73.14685534919745,72.02069410821072,71.79740905761719,71.18093872070312,2022-04-14,True,XLK,Sector ETF
2022-04-18,2022-04-19,long,71.87508859045494,70.81203319973882,72.75367736816406,69.45286560058594,2022-04-22,False,XLK,Sector ETF
2022-04-25,2022-04-26,short,70.54505761940626,68.71504891318375,67.87042999267578,68.6470718383789,2022-04-29,True,XLK,Sector ETF
2022-05-02,2022-05-03,long,69.7829647337096,67.79277603408163,69.81208801269531,68.23451232910156,2022-05-06,False,XLK,Sector ETF
2022-05-09,2022-05-11,short,67.43356870336287,65.29289573438344,64.4919662475586,65.94819641113281,2022-05-13,False,XLK,Sector ETF
2022-05-16,2022-05-17,long,66.24430362193475,64.80747807989293,67.2588119506836,63.61820983886719,2022-05-20,False,XLK,Sector ETF
2022-05-23,2022-05-26,long,65.1618192168257,63.61820260731138,66.41902923583984,68.66651153564453,2022-05-27,True,XLK,Sector ETF
2022-05-31,2022-06-02,long,68.84611887733874,67.5112332786048,69.61790466308594,67.95292663574219,2022-06-03,False,XLK,Sector ETF
2022-06-06,2022-06-09,short,69.23443226476333,67.62285816157237,66.17634582519531,63.63276672363281,2022-06-10,True,XLK,Sector ETF
2022-06-13,2022-06-15,long,62.215373571467275,60.5892410169785,62.48719024658203,60.492149353027344,2022-06-17,False,XLK,Sector ETF
2022-06-21,2022-06-23,long,62.469509353940644,61.37449225065286,62.69337844848633,64.94667053222656,2022-06-24,True,XLK,Sector ETF
2022-06-27,2022-06-28,short,65.35063446967908,64.21668228499665,62.57657241821289,62.007171630859375,2022-07-01,True,XLK,Sector ETF
2022-07-05,2022-07-06,long,62.80043871347276,60.814810697788275,63.3260498046875,64.6644058227539,2022-07-08,True,XLK,Sector ETF
2022-07-11,2022-07-12,short,64.37727102739568,63.33578839980874,62.902652740478516,64.42594146728516,2022-07-15,False,XLK,Sector ETF
2022-07-18,2022-07-19,long,65.29221961629786,63.55966046241916,65.74968719482422,66.78144073486328,2022-07-22,True,XLK,Sector ETF
2022-07-25,2022-07-26,short,66.82525836398833,65.8567810941728,65.2824935913086,70.18814849853516,2022-07-29,False,XLK,Sector ETF
2022-08-01,2022-08-03,long,70.73809687670526,69.3851432151349,71.39025115966797,71.55084228515625,2022-08-05,True,XLK,Sector ETF
2022-08-08,2022-08-09,short,72.04239372150612,70.55803566895939,70.23196411132812,73.29801177978516,2022-08-12,False,XLK,Sector ETF
2022-08-15,2022-08-19,short,73.8674067437056,72.92325764253506,72.0813217163086,72.0813217163086,2022-08-19,True,XLK,Sector ETF
2022-08-22,2022-08-23,short,71.12256816482652,69.89614708646121,69.88641357421875,68.07599639892578,2022-08-26,True,XLK,Sector ETF
2022-08-29,2022-08-30,short,67.83266481119678,66.91771477107837,66.47483825683594,64.65467834472656,2022-09-02,True,XLK,Sector ETF
2022-09-06,2022-09-07,long,65.01968369786938,63.802998055514486,65.25328063964844,66.7717056274414,2022-09-09,True,XLK,Sector ETF
2022-09-12,2022-09-13,short,67.87158339723771,67.1756354686747,64.24099731445312,62.63984680175781,2022-09-16,True,XLK,Sector ETF
2022-09-19,2022-09-21,short,63.20919656133757,61.974871205101,61.79922866821289,60.36975860595703,2022-09-23,True,XLK,Sector ETF
2022-09-26,2022-09-29,short,61.19426100284736,59.779420455518064,59.081764221191406,57.94989776611328,2022-09-30,True,XLK,Sector ETF
2022-10-03,2022-10-04,long,60.10142842056572,58.184076140727356,61.75044631958008,58.92076873779297,2022-10-07,False,XLK,Sector ETF
2022-10-10,2022-10-11,short,59.00370707414777,57.34980822405254,57.042449951171875,56.98390197753906,2022-10-14,True,XLK,Sector ETF
2022-10-17,2022-10-18,long,59.013466055819265,58.2231057894556,59.21836853027344,60.6624870300293,2022-10-21,True,XLK,Sector ETF
2022-10-24,2022-10-25,long,61.72606280743799,60.179496958026824,62.67741394042969,63.218955993652344,2022-10-28,True,XLK,Sector ETF
2022-10-31,2022-11-01,short,62.7603521161635,62.013902624702304,61.8626594543457,59.028106689453125,2022-11-04,True,XLK,Sector ETF
2022-11-07,2022-11-08,long,60.11118834428535,58.71098319104832,60.58930206298828,64.95579528808594,2022-11-11,True,XLK,Sector ETF
2022-11-21,2022-11-22,long,64.34106928885022,63.6238911959316,64.98506164550781,65.18021392822266,2022-11-25,True,XLK,Sector ETF
2022-11-28,2022-11-29,short,64.85822620384523,63.52632702240585,63.16042709350586,66.03887939453125,2022-12-02,False,XLK,Sector ETF
2022-12-05,2022-12-06,short,65.89740216013806,64.51182893012682,63.55071258544922,63.86782455444336,2022-12-09,True,XLK,Sector ETF
2022-12-12,2022-12-13,long,65.26315307617188,63.95076587798357,66.03399658203125,62.19441604614258,2022-12-16,False,XLK,Sector ETF
2022-12-19,2022-12-21,long,62.29960980577475,60.95898881594478,62.47574996948242,60.9638786315918,2022-12-23,False,XLK,Sector ETF
2022-12-27,2022-12-28,short,60.8611346897285,60.02936570711923,59.412879943847656,60.88560485839844,2022-12-30,False,XLK,Sector ETF
2023-01-03,2023-01-05,short,61.9424368220316,59.877688305816314,59.29055404663086,61.02749252319336,2023-01-06,False,XLK,Sector ETF
2023-01-09,2023-01-11,long,62.86227660982989,61.55590854456381,63.19499206542969,63.84571838378906,2023-01-13,True,XLK,Sector ETF
2023-01-17,2023-01-18,short,64.51112926605595,63.67935298873394,63.307518005371094,64.26161193847656,2023-01-20,False,XLK,Sector ETF
2023-01-23,2023-01-26,long,66.10128586389773,64.37413969167086,66.60523223876953,66.8841323852539,2023-01-27,True,XLK,Sector ETF
2023-01-30,2023-01-31,long,66.40464790176225,65.55330358197553,66.52206420898438,69.3647689819336,2023-02-03,True,XLK,Sector ETF
2023-02-06,2023-02-07,long,69.13478861375017,68.25897927406707,70.23078155517578,68.68468475341797,2023-02-10,False,XLK,Sector ETF
2023-02-13,2023-02-14,long,70.02528604812255,68.90973565574791,70.17207336425781,68.41067504882812,2023-02-17,False,XLK,Sector ETF
2023-02-21,2023-02-22,short,67.90181267339115,66.72755170344024,66.68841552734375,66.58567810058594,2023-02-24,True,XLK,Sector ETF
2023-02-27,2023-02-28,short,67.5984849598317,66.82053663409229,66.79606628417969,68.56725311279297,2023-03-03,False,XLK,Sector ETF
2023-03-06,2023-03-07,short,69.82957805850947,68.8412369373221,68.03883361816406,66.4291000366211,2023-03-10,True,XLK,Sector ETF
2023-03-13,2023-03-14,long,67.71588552605142,65.6022142754957,68.3323974609375,70.19163513183594,2023-03-17,True,XLK,Sector ETF
2023-03-20,2023-03-21,long,70.46917325892126,69.54239928198052,70.9497299194336,71.57247924804688,2023-03-24,True,XLK,Sector ETF
2023-03-27,2023-03-28,short,71.92552711315805,70.85165207671072,70.6849365234375,74.04877471923828,2023-03-31,False,XLK,Sector ETF
2023-04-03,2023-04-05,short,74.03407731888299,73.24460246762311,72.68559265136719,73.09749603271484,2023-04-06,True,XLK,Sector ETF
2023-04-10,2023-04-12,short,73.07299105399308,71.97458884845025,71.95987701416016,72.89154052734375,2023-04-14,False,XLK,Sector ETF
2023-04-17,2023-04-18,long,73.31815256904589,72.58751822611576,73.38189697265625,72.45512390136719,2023-04-21,False,XLK,Sector ETF
2023-04-24,2023-04-25,short,72.51886839961372,71.59699520162889,70.59666442871094,73.96052551269531,2023-04-28,False,XLK,Sector ETF
2023-05-01,2023-05-02,short,74.36261233142496,73.783994847517,73.31324005126953,74.16157531738281,2023-05-05,False,XLK,Sector ETF
2023-05-08,2023-05-09,short,74.18609391071416,73.6663167812497,73.55352020263672,74.01935577392578,2023-05-12,False,XLK,Sector ETF
2023-05-15,2023-05-16,long,74.64701906646421,73.82812404802554,74.71076965332031,77.22138977050781,2023-05-19,True,XLK,Sector ETF
2023-05-22,2023-05-23,short,77.56955550038454,76.86344040097599,76.2259750366211,80.80101776123047,2023-05-26,False,XLK,Sector ETF
2023-05-30,2023-05-31,short,82.39955758333929,81.06088554607857,80.55583190917969,81.84056091308594,2023-06-02,False,XLK,Sector ETF
2023-06-05,2023-06-07,short,82.33582326689958,81.22761195973756,80.13412475585938,81.40412902832031,2023-06-09,False,XLK,Sector ETF
2023-06-12,2023-06-13,long,83.20865260560716,81.79642252517478,83.67938232421875,84.9249038696289,2023-06-16,True,XLK,Sector ETF
2023-06-20,2023-06-21,short,84.96027099857831,83.89888750188628,83.10285186767578,82.87190246582031,2023-06-23,True,XLK,Sector ETF
2023-06-26,2023-06-27,long,83.67284932892079,82.21835719354877,83.89888000488281,85.4320068359375,2023-06-30,True,XLK,Sector ETF
2023-07-03,2023-07-05,short,85.45657106155186,84.81777052775035,84.72441864013672,84.12984466552734,2023-07-07,True,XLK,Sector ETF
2023-07-10,2023-07-11,long,84.35587091744598,83.50577889300035,84.53277587890625,86.47865295410156,2023-07-14,True,XLK,Sector ETF
2023-07-17,2023-07-18,long,87.83978853682319,86.54253526288,88.57686614990234,86.54745483398438,2023-07-21,False,XLK,Sector ETF
2023-07-24,2023-07-25,long,87.1420335390713,86.36564594802147,87.6923828125,87.4368667602539,2023-07-28,True,XLK,Sector ETF
2023-07-31,2023-08-01,long,87.74643361870001,87.13711483486196,87.7857437133789,84.10527801513672,2023-08-04,False,XLK,Sector ETF
2023-08-07,2023-08-08,short,84.74899032468765,83.73182195076414,83.69252014160156,82.0119857788086,2023-08-11,True,XLK,Sector ETF
2023-08-14,2023-08-16,short,83.3288910577058,81.73189322179736,81.71223449707031,81.05870056152344,2023-08-18,True,XLK,Sector ETF
2023-08-21,2023-08-23,long,82.7736208594108,81.39774436662222,84.00208282470703,82.9013900756836,2023-08-25,True,XLK,Sector ETF
2023-08-28,2023-08-29,long,83.75639682147282,82.93578648510662,85.25511169433594,86.58184051513672,2023-09-01,True,XLK,Sector ETF
2023-09-05,2023-09-06,short,87.16168110945486,86.08554913757399,85.97254943847656,84.90621948242188,2023-09-08,True,XLK,Sector ETF
2023-09-11,2023-09-12,short,85.73175910914101,84.6015745146321,83.80062103271484,82.99473571777344,2023-09-15,True,XLK,Sector ETF
2023-09-18,2023-09-20,short,83.66937727874647,82.72882749612967,82.0394287109375,80.96101379394531,2023-09-22,True,XLK,Sector ETF
2023-09-25,2023-09-26,short,81.34509324157192,80.5473533547089,79.75946044921875,80.7246322631836,2023-09-29,False,XLK,Sector ETF
2023-10-02,2023-10-03,short,81.82768222359316,80.64091556298163,80.20758056640625,82.83716583251953,2023-10-06,False,XLK,Sector ETF
2023-10-09,2023-10-11,long,83.39363202559349,81.95079769006786,84.166748046875,83.03907012939453,2023-10-13,False,XLK,Sector ETF
2023-10-16,2023-10-18,short,84.21599083131031,83.16218329724826,82.5909652709961,80.72956848144531,2023-10-20,True,XLK,Sector ETF
2023-10-23,2023-10-26,short,81.6454832353786,79.77915589267184,78.88292694091797,79.34089660644531,2023-10-27,True,XLK,Sector ETF
2023-10-30,2023-10-31,long,80.47839960442947,79.5181558262915,80.76402282714844,84.58038330078125,2023-11-03,True,XLK,Sector ETF
2023-11-06,2023-11-07,long,85.16637800065764,84.42772770140833,86.06753540039062,88.40167999267578,2023-11-10,True,XLK,Sector ETF
2023-11-13,2023-11-14,long,88.10619897503956,87.51528029086076,89.64260864257812,90.01686096191406,2023-11-17,True,XLK,Sector ETF
2023-11-27,2023-12-01,long,91.33164839523536,90.51913606754808,91.38581848144531,91.38581848144531,2023-12-01,True,XLK,Sector ETF
2023-12-04,2023-12-05,long,90.47481838517375,89.28805918324069,90.8145980834961,91.91764068603516,2023-12-08,True,XLK,Sector ETF
2023-12-11,2023-12-12,long,92.74000794556243,91.43505457792885,93.33586120605469,94.3995132446289,2023-12-15,True,XLK,Sector ETF
2023-12-18,2023-12-19,long,94.89402608886626,93.9810110661593,95.04207611083984,94.78050994873047,2023-12-22,False,XLK,Sector ETF
2024-01-02,2024-01-03,short,93.84776130198016,91.91809637084393,91.56275939941406,90.86688995361328,2024-01-05,True,XLK,Sector ETF
2024-01-08,2024-01-09,long,93.21111750439263,91.23210506815713,93.29501342773438,94.87427520751953,2024-01-12,True,XLK,Sector ETF
2024-01-16,2024-01-18,long,95.51091787301306,94.20802547142178,96.56211853027344,98.78789520263672,2024-01-19,True,XLK,Sector ETF
2024-01-22,2024-01-24,long,99.82921830770998,98.84711086253755,100.30793762207031,99.56765747070312,2024-01-26,False,XLK,Sector ETF
2024-01-29,2024-01-31,short,100.5003969683855,99.4936196373912,97.55902099609375,99.80947875976562,2024-02-02,False,XLK,Sector ETF
2024-02-05,2024-02-07,long,100.32274916839444,99.09882162605558,100.89522552490234,102.57318878173828,2024-02-09,True,XLK,Sector ETF
2024-02-12,2024-02-13,short,102.88411667421677,101.64538416507479,100.06611633300781,99.97234344482422,2024-02-16,True,XLK,Sector ETF
2024-02-20,2024-02-22,long,99.74039096793777,97.96371602777128,101.5516128540039,101.31471252441406,2024-02-23,True,XLK,Sector ETF
2024-02-26,2024-02-28,short,102.01058425346432,101.30978674503845,101.0235366821289,104.01426696777344,2024-03-01,False,XLK,Sector ETF
2024-03-04,2024-03-05,short,104.61142944950285,103.63426200991735,101.45782470703125,102.33136749267578,2024-03-08,True,XLK,Sector ETF
2024-03-11,2024-03-12,long,102.27707895194892,101.31470900807061,104.14259338378906,101.48251342773438,2024-03-15,False,XLK,Sector ETF
2024-03-18,2024-03-20,long,103.02928802049307,101.90220495273422,103.65709686279297,103.7658462524414,2024-03-22,True,XLK,Sector ETF
