threshold,label,trades,longs,shorts,ko_pct,wr_pct,roi_pct,pnl,long_wr,long_roi,short_wr,short_roi
-999.0,No grad check (old),909,584,325,53.35533553355336,30.143014301430142,-52.63477717740256,-239225.06227129462,27.397260273972602,-56.44433862589585,35.07692307692308,-45.78928829764845
0.0,combinedGrad > 0.0,776,571,205,57.21649484536082,28.09278350515464,-56.42403609550826,-218925.26005057202,27.32049036777583,-57.20564571854679,30.24390243902439,-54.24696734060579
0.05,combinedGrad > 0.05,757,569,188,57.992073976221924,27.476882430647294,-57.187485881294705,-216454.63406070048,27.240773286467483,-57.40565892165217,28.191489361702125,-56.52716428574473
0.1,combinedGrad > 0.1,736,567,169,59.10326086956522,26.4945652173913,-58.2862437185667,-214493.37688432547,27.336860670194003,-57.43021034988678,23.668639053254438,-61.1582609969189
0.15,combinedGrad > 0.15,718,563,155,60.16713091922006,25.487465181058493,-59.344841021064774,-213047.97926562256,26.99822380106572,-57.66596574317695,20.0,-65.44294928848957
0.2,combinedGrad > 0.2,702,556,146,61.396011396011396,24.92877492877493,-60.56153278424835,-212570.9800727117,26.618705035971225,-58.219441492792775,18.493150684931507,-69.4807297571888
0.25,combinedGrad > 0.25,688,549,139,61.48255813953488,25.290697674418606,-60.630509093300866,-208568.95128095496,26.958105646630237,-58.229843776998216,18.705035971223023,-70.11227354402138
0.3,combinedGrad > 0.3,670,537,133,61.791044776119406,25.223880597014926,-60.93530772662498,-204133.28088419366,26.81564245810056,-58.43521092060532,18.796992481203006,-71.02968355243367
0.4,combinedGrad > 0.4,634,522,112,61.82965299684543,25.39432176656151,-60.98147733183295,-193311.28314191042,26.62835249042146,-58.644731726916554,19.642857142857142,-71.8723809547468
0.5,combinedGrad > 0.5,589,502,87,60.78098471986417,26.485568760611205,-59.93623586080411,-176512.2146100681,26.89243027888446,-58.27351046623049,24.137931034482758,-69.53035250535531
